DriverNumber,Abbreviation,TeamName,Position,Points,Status,GridPosition,Year,Round,EventName
47,MSC,Haas F1 Team,14.0,0.0,+1 Lap,19.0,2021,22,Abu Dhabi Grand Prix
11,PER,Red Bull Racing,15.0,0.0,Engine,4.0,2021,22,Abu Dhabi Grand Prix
6,LAT,Williams,16.0,0.0,Accident,16.0,2021,22,Abu Dhabi Grand Prix
99,GIO,Alfa Romeo Racing,17.0,0.0,Gearbox,14.0,2021,22,Abu Dhabi Grand Prix
63,RUS,Williams,18.0,0.0,Gearbox,17.0,2021,22,Abu Dhabi Grand Prix
7,RAI,Alfa Romeo Racing,19.0,0.0,Brakes,18.0,2021,22,Abu Dhabi Grand Prix
9,MAZ,Haas F1 Team,,0.0,Illness,,2021,22,Abu Dhabi Grand Prix
16,LEC,Ferrari,1.0,26.0,Finished,1.0,2022,1,Bahrain Grand Prix
55,SAI,Ferrari,2.0,18.0,Finished,3.0,2022,1,Bahrain Grand Prix
44,HAM,Mercedes,3.0,15.0,Finished,5.0,2022,1,Bahrain Grand Prix
63,RUS,Mercedes,4.0,12.0,Finished,9.0,2022,1,Bahrain Grand Prix
20,MAG,Haas F1 Team,5.0,10.0,Finished,7.0,2022,1,Bahrain Grand Prix
77,BOT,Alfa Romeo,6.0,8.0,Finished,6.0,2022,1,Bahrain Grand Prix
31,OCO,Alpine,7.0,6.0,Finished,11.0,2022,1,Bahrain Grand Prix
22,TSU,AlphaTauri,8.0,4.0,Finished,16.0,2022,1,Bahrain Grand Prix
14,ALO,Alpine,9.0,2.0,Finished,8.0,2022,1,Bahrain Grand Prix
24,ZHO,Alfa Romeo,10.0,1.0,Finished,15.0,2022,1,Bahrain Grand Prix
47,MSC,Haas F1 Team,11.0,0.0,Finished,12.0,2022,1,Bahrain Grand Prix
18,STR,Aston Martin,12.0,0.0,Finished,19.0,2022,1,Bahrain Grand Prix
23,ALB,Williams,13.0,0.0,Finished,14.0,2022,1,Bahrain Grand Prix
3,RIC,McLaren,14.0,0.0,Finished,18.0,2022,1,Bahrain Grand Prix
4,NOR,McLaren,15.0,0.0,Finished,13.0,2022,1,Bahrain Grand Prix
6,LAT,Williams,16.0,0.0,Finished,20.0,2022,1,Bahrain Grand Prix
27,HUL,Aston Martin,17.0,0.0,Finished,17.0,2022,1,Bahrain Grand Prix
11,PER,Red Bull Racing,18.0,0.0,Fuel pressure,4.0,2022,1,Bahrain Grand Prix
1,VER,Red Bull Racing,19.0,0.0,Fuel pressure,2.0,2022,1,Bahrain Grand Prix
10,GAS,AlphaTauri,20.0,0.0,Power Unit,10.0,2022,1,Bahrain Grand Prix
1,VER,Red Bull Racing,1.0,25.0,Finished,4.0,2022,2,Saudi Arabian Grand Prix
16,LEC,Ferrari,2.0,19.0,Finished,2.0,2022,2,Saudi Arabian Grand Prix
55,SAI,Ferrari,3.0,15.0,Finished,3.0,2022,2,Saudi Arabian Grand Prix
11,PER,Red Bull Racing,4.0,12.0,Finished,1.0,2022,2,Saudi Arabian Grand Prix
63,RUS,Mercedes,5.0,10.0,Finished,6.0,2022,2,Saudi Arabian Grand Prix
31,OCO,Alpine,6.0,8.0,Finished,5.0,2022,2,Saudi Arabian Grand Prix
4,NOR,McLaren,7.0,6.0,Finished,11.0,2022,2,Saudi Arabian Grand Prix
10,GAS,AlphaTauri,8.0,4.0,Finished,9.0,2022,2,Saudi Arabian Grand Prix
20,MAG,Haas F1 Team,9.0,2.0,Finished,10.0,2022,2,Saudi Arabian Grand Prix
44,HAM,Mercedes,10.0,1.0,Finished,15.0,2022,2,Saudi Arabian Grand Prix
24,ZHO,Alfa Romeo,11.0,0.0,Finished,12.0,2022,2,Saudi Arabian Grand Prix
27,HUL,Aston Martin,12.0,0.0,Finished,17.0,2022,2,Saudi Arabian Grand Prix
18,STR,Aston Martin,13.0,0.0,+1 Lap,13.0,2022,2,Saudi Arabian Grand Prix
23,ALB,Williams,14.0,0.0,Collision damage,16.0,2022,2,Saudi Arabian Grand Prix
77,BOT,Alfa Romeo,15.0,0.0,Cooling system,8.0,2022,2,Saudi Arabian Grand Prix
14,ALO,Alpine,16.0,0.0,Water pump,7.0,2022,2,Saudi Arabian Grand Prix
3,RIC,McLaren,17.0,0.0,Gearbox,14.0,2022,2,Saudi Arabian Grand Prix
6,LAT,Williams,18.0,0.0,Accident,18.0,2022,2,Saudi Arabian Grand Prix
22,TSU,AlphaTauri,19.0,0.0,Power Unit,19.0,2022,2,Saudi Arabian Grand Prix
47,MSC,Haas F1 Team,,0.0,Withdrew,,2022,2,Saudi Arabian Grand Prix
16,LEC,Ferrari,1.0,26.0,Finished,1.0,2022,3,Australian Grand Prix
11,PER,Red Bull Racing,2.0,18.0,Finished,3.0,2022,3,Australian Grand Prix
63,RUS,Mercedes,3.0,15.0,Finished,6.0,2022,3,Australian Grand Prix
44,HAM,Mercedes,4.0,12.0,Finished,5.0,2022,3,Australian Grand Prix
4,NOR,McLaren,5.0,10.0,Finished,4.0,2022,3,Australian Grand Prix
3,RIC,McLaren,6.0,8.0,Finished,7.0,2022,3,Australian Grand Prix
31,OCO,Alpine,7.0,6.0,Finished,8.0,2022,3,Australian Grand Prix
77,BOT,Alfa Romeo,8.0,4.0,Finished,12.0,2022,3,Australian Grand Prix
10,GAS,AlphaTauri,9.0,2.0,Finished,11.0,2022,3,Australian Grand Prix
23,ALB,Williams,10.0,1.0,Finished,20.0,2022,3,Australian Grand Prix
24,ZHO,Alfa Romeo,11.0,0.0,Finished,14.0,2022,3,Australian Grand Prix
18,STR,Aston Martin,12.0,0.0,Finished,19.0,2022,3,Australian Grand Prix
47,MSC,Haas F1 Team,13.0,0.0,+1 Lap,15.0,2022,3,Australian Grand Prix
20,MAG,Haas F1 Team,14.0,0.0,+1 Lap,16.0,2022,3,Australian Grand Prix
22,TSU,AlphaTauri,15.0,0.0,+1 Lap,13.0,2022,3,Australian Grand Prix
6,LAT,Williams,16.0,0.0,+1 Lap,18.0,2022,3,Australian Grand Prix
14,ALO,Alpine,17.0,0.0,+1 Lap,10.0,2022,3,Australian Grand Prix
1,VER,Red Bull Racing,18.0,0.0,Fuel leak,2.0,2022,3,Australian Grand Prix
5,VET,Aston Martin,19.0,0.0,Accident,17.0,2022,3,Australian Grand Prix
55,SAI,Ferrari,20.0,0.0,Spun off,9.0,2022,3,Australian Grand Prix
1,VER,Red Bull Racing,1.0,26.0,Finished,1.0,2022,4,Emilia Romagna Grand Prix
11,PER,Red Bull Racing,2.0,18.0,Finished,3.0,2022,4,Emilia Romagna Grand Prix
4,NOR,McLaren,3.0,15.0,Finished,5.0,2022,4,Emilia Romagna Grand Prix
63,RUS,Mercedes,4.0,12.0,Finished,11.0,2022,4,Emilia Romagna Grand Prix
77,BOT,Alfa Romeo,5.0,10.0,Finished,7.0,2022,4,Emilia Romagna Grand Prix
16,LEC,Ferrari,6.0,8.0,Finished,2.0,2022,4,Emilia Romagna Grand Prix
22,TSU,AlphaTauri,7.0,6.0,Finished,12.0,2022,4,Emilia Romagna Grand Prix
5,VET,Aston Martin,8.0,4.0,Finished,13.0,2022,4,Emilia Romagna Grand Prix
20,MAG,Haas F1 Team,9.0,2.0,Finished,8.0,2022,4,Emilia Romagna Grand Prix
18,STR,Aston Martin,10.0,1.0,+1 Lap,15.0,2022,4,Emilia Romagna Grand Prix
23,ALB,Williams,11.0,0.0,+1 Lap,18.0,2022,4,Emilia Romagna Grand Prix
10,GAS,AlphaTauri,12.0,0.0,+1 Lap,17.0,2022,4,Emilia Romagna Grand Prix
44,HAM,Mercedes,13.0,0.0,+1 Lap,14.0,2022,4,Emilia Romagna Grand Prix
31,OCO,Alpine,14.0,0.0,+1 Lap,16.0,2022,4,Emilia Romagna Grand Prix
24,ZHO,Alfa Romeo,15.0,0.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix
6,LAT,Williams,16.0,0.0,+1 Lap,19.0,2022,4,Emilia Romagna Grand Prix
47,MSC,Haas F1 Team,17.0,0.0,+1 Lap,10.0,2022,4,Emilia Romagna Grand Prix
3,RIC,McLaren,18.0,0.0,+1 Lap,6.0,2022,4,Emilia Romagna Grand Prix
14,ALO,Alpine,19.0,0.0,Collision damage,9.0,2022,4,Emilia Romagna Grand Prix
55,SAI,Ferrari,20.0,0.0,Collision,4.0,2022,4,Emilia Romagna Grand Prix
1,VER,Red Bull Racing,1.0,26.0,Finished,3.0,2022,5,Miami Grand Prix
16,LEC,Ferrari,2.0,18.0,Finished,1.0,2022,5,Miami Grand Prix
55,SAI,Ferrari,3.0,15.0,Finished,2.0,2022,5,Miami Grand Prix
11,PER,Red Bull Racing,4.0,12.0,Finished,4.0,2022,5,Miami Grand Prix
63,RUS,Mercedes,5.0,10.0,Finished,12.0,2022,5,Miami Grand Prix
44,HAM,Mercedes,6.0,8.0,Finished,6.0,2022,5,Miami Grand Prix
77,BOT,Alfa Romeo,7.0,6.0,Finished,5.0,2022,5,Miami Grand Prix
31,OCO,Alpine,8.0,4.0,Finished,20.0,2022,5,Miami Grand Prix
23,ALB,Williams,9.0,2.0,Finished,18.0,2022,5,Miami Grand Prix
18,STR,Aston Martin,10.0,1.0,Finished,0.0,2022,5,Miami Grand Prix
14,ALO,Alpine,11.0,0.0,Finished,11.0,2022,5,Miami Grand Prix
22,TSU,AlphaTauri,12.0,0.0,Finished,9.0,2022,5,Miami Grand Prix
3,RIC,McLaren,13.0,0.0,Finished,14.0,2022,5,Miami Grand Prix
6,LAT,Williams,14.0,0.0,Finished,19.0,2022,5,Miami Grand Prix
47,MSC,Haas F1 Team,15.0,0.0,Finished,15.0,2022,5,Miami Grand Prix
20,MAG,Haas F1 Team,16.0,0.0,Front wing,16.0,2022,5,Miami Grand Prix
5,VET,Aston Martin,17.0,0.0,Collision,0.0,2022,5,Miami Grand Prix
10,GAS,AlphaTauri,18.0,0.0,Suspension,7.0,2022,5,Miami Grand Prix
4,NOR,McLaren,19.0,0.0,Collision,8.0,2022,5,Miami Grand Prix
24,ZHO,Alfa Romeo,20.0,0.0,Water leak,17.0,2022,5,Miami Grand Prix
1,VER,Red Bull Racing,1.0,25.0,Finished,2.0,2022,6,Spanish Grand Prix
11,PER,Red Bull Racing,2.0,19.0,Finished,5.0,2022,6,Spanish Grand Prix
63,RUS,Mercedes,3.0,15.0,Finished,4.0,2022,6,Spanish Grand Prix
55,SAI,Ferrari,4.0,12.0,Finished,3.0,2022,6,Spanish Grand Prix
44,HAM,Mercedes,5.0,10.0,Finished,6.0,2022,6,Spanish Grand Prix
77,BOT,Alfa Romeo,6.0,8.0,Finished,7.0,2022,6,Spanish Grand Prix
31,OCO,Alpine,7.0,6.0,Finished,12.0,2022,6,Spanish Grand Prix
4,NOR,McLaren,8.0,4.0,Finished,11.0,2022,6,Spanish Grand Prix
14,ALO,Alpine,9.0,2.0,+1 Lap,20.0,2022,6,Spanish Grand Prix
22,TSU,AlphaTauri,10.0,1.0,+1 Lap,13.0,2022,6,Spanish Grand Prix
5,VET,Aston Martin,11.0,0.0,+1 Lap,16.0,2022,6,Spanish Grand Prix
3,RIC,McLaren,12.0,0.0,+1 Lap,9.0,2022,6,Spanish Grand Prix
10,GAS,AlphaTauri,13.0,0.0,+1 Lap,14.0,2022,6,Spanish Grand Prix
47,MSC,Haas F1 Team,14.0,0.0,+1 Lap,10.0,2022,6,Spanish Grand Prix
18,STR,Aston Martin,15.0,0.0,+1 Lap,17.0,2022,6,Spanish Grand Prix
6,LAT,Williams,16.0,0.0,+2 Laps,19.0,2022,6,Spanish Grand Prix
20,MAG,Haas F1 Team,17.0,0.0,+2 Laps,8.0,2022,6,Spanish Grand Prix
23,ALB,Williams,18.0,0.0,+2 Laps,18.0,2022,6,Spanish Grand Prix
24,ZHO,Alfa Romeo,19.0,0.0,Power loss,15.0,2022,6,Spanish Grand Prix
16,LEC,Ferrari,20.0,0.0,Turbo,1.0,2022,6,Spanish Grand Prix
11,PER,Red Bull Racing,1.0,25.0,Finished,3.0,2022,7,Monaco Grand Prix
55,SAI,Ferrari,2.0,18.0,Finished,2.0,2022,7,Monaco Grand Prix
1,VER,Red Bull Racing,3.0,15.0,Finished,4.0,2022,7,Monaco Grand Prix
16,LEC,Ferrari,4.0,12.0,Finished,1.0,2022,7,Monaco Grand Prix
63,RUS,Mercedes,5.0,10.0,Finished,6.0,2022,7,Monaco Grand Prix
4,NOR,McLaren,6.0,9.0,Finished,5.0,2022,7,Monaco Grand Prix
14,ALO,Alpine,7.0,6.0,Finished,7.0,2022,7,Monaco Grand Prix
44,HAM,Mercedes,8.0,4.0,Finished,8.0,2022,7,Monaco Grand Prix
77,BOT,Alfa Romeo,9.0,2.0,Finished,12.0,2022,7,Monaco Grand Prix
5,VET,Aston Martin,10.0,1.0,Finished,9.0,2022,7,Monaco Grand Prix
10,GAS,AlphaTauri,11.0,0.0,Finished,17.0,2022,7,Monaco Grand Prix
31,OCO,Alpine,12.0,0.0,Finished,10.0,2022,7,Monaco Grand Prix
3,RIC,McLaren,13.0,0.0,Finished,14.0,2022,7,Monaco Grand Prix
18,STR,Aston Martin,14.0,0.0,Finished,18.0,2022,7,Monaco Grand Prix
6,LAT,Williams,15.0,0.0,+1 Lap,19.0,2022,7,Monaco Grand Prix
24,ZHO,Alfa Romeo,16.0,0.0,+1 Lap,20.0,2022,7,Monaco Grand Prix
22,TSU,AlphaTauri,17.0,0.0,+1 Lap,11.0,2022,7,Monaco Grand Prix
23,ALB,Williams,18.0,0.0,Mechanical,16.0,2022,7,Monaco Grand Prix
47,MSC,Haas F1 Team,19.0,0.0,Accident,15.0,2022,7,Monaco Grand Prix
20,MAG,Haas F1 Team,20.0,0.0,Water pressure,13.0,2022,7,Monaco Grand Prix
1,VER,Red Bull Racing,1.0,25.0,Finished,3.0,2022,8,Azerbaijan Grand Prix
11,PER,Red Bull Racing,2.0,19.0,Finished,2.0,2022,8,Azerbaijan Grand Prix
63,RUS,Mercedes,3.0,15.0,Finished,5.0,2022,8,Azerbaijan Grand Prix
44,HAM,Mercedes,4.0,12.0,Finished,7.0,2022,8,Azerbaijan Grand Prix
10,GAS,AlphaTauri,5.0,10.0,Finished,6.0,2022,8,Azerbaijan Grand Prix
5,VET,Aston Martin,6.0,8.0,Finished,9.0,2022,8,Azerbaijan Grand Prix
14,ALO,Alpine,7.0,6.0,Finished,10.0,2022,8,Azerbaijan Grand Prix
3,RIC,McLaren,8.0,4.0,Finished,12.0,2022,8,Azerbaijan Grand Prix
4,NOR,McLaren,9.0,2.0,Finished,11.0,2022,8,Azerbaijan Grand Prix
31,OCO,Alpine,10.0,1.0,Finished,13.0,2022,8,Azerbaijan Grand Prix
77,BOT,Alfa Romeo,11.0,0.0,+1 Lap,15.0,2022,8,Azerbaijan Grand Prix
23,ALB,Williams,12.0,0.0,+1 Lap,17.0,2022,8,Azerbaijan Grand Prix
22,TSU,AlphaTauri,13.0,0.0,+1 Lap,8.0,2022,8,Azerbaijan Grand Prix
47,MSC,Haas F1 Team,14.0,0.0,+1 Lap,20.0,2022,8,Azerbaijan Grand Prix
6,LAT,Williams,15.0,0.0,+1 Lap,18.0,2022,8,Azerbaijan Grand Prix
18,STR,Aston Martin,16.0,0.0,Vibrations,19.0,2022,8,Azerbaijan Grand Prix
20,MAG,Haas F1 Team,17.0,0.0,Power Unit,16.0,2022,8,Azerbaijan Grand Prix
24,ZHO,Alfa Romeo,18.0,0.0,Hydraulics,14.0,2022,8,Azerbaijan Grand Prix
16,LEC,Ferrari,19.0,0.0,Power Unit,1.0,2022,8,Azerbaijan Grand Prix
55,SAI,Ferrari,20.0,0.0,Hydraulics,4.0,2022,8,Azerbaijan Grand Prix
1,VER,Red Bull Racing,1.0,25.0,Finished,1.0,2022,9,Canadian Grand Prix
55,SAI,Ferrari,2.0,19.0,Finished,3.0,2022,9,Canadian Grand Prix
44,HAM,Mercedes,3.0,15.0,Finished,4.0,2022,9,Canadian Grand Prix
63,RUS,Mercedes,4.0,12.0,Finished,8.0,2022,9,Canadian Grand Prix
16,LEC,Ferrari,5.0,10.0,Finished,19.0,2022,9,Canadian Grand Prix
31,OCO,Alpine,6.0,8.0,Finished,7.0,2022,9,Canadian Grand Prix
77,BOT,Alfa Romeo,7.0,6.0,Finished,11.0,2022,9,Canadian Grand Prix
24,ZHO,Alfa Romeo,8.0,4.0,Finished,10.0,2022,9,Canadian Grand Prix
14,ALO,Alpine,9.0,2.0,Finished,2.0,2022,9,Canadian Grand Prix
18,STR,Aston Martin,10.0,1.0,Finished,17.0,2022,9,Canadian Grand Prix
3,RIC,McLaren,11.0,0.0,Finished,9.0,2022,9,Canadian Grand Prix
5,VET,Aston Martin,12.0,0.0,Finished,16.0,2022,9,Canadian Grand Prix
23,ALB,Williams,13.0,0.0,Finished,12.0,2022,9,Canadian Grand Prix
10,GAS,AlphaTauri,14.0,0.0,Finished,15.0,2022,9,Canadian Grand Prix
4,NOR,McLaren,15.0,0.0,Finished,14.0,2022,9,Canadian Grand Prix
6,LAT,Williams,16.0,0.0,Finished,18.0,2022,9,Canadian Grand Prix
20,MAG,Haas F1 Team,17.0,0.0,Finished,5.0,2022,9,Canadian Grand Prix
22,TSU,AlphaTauri,18.0,0.0,Accident,20.0,2022,9,Canadian Grand Prix
47,MSC,Haas F1 Team,19.0,0.0,Engine,6.0,2022,9,Canadian Grand Prix
11,PER,Red Bull Racing,20.0,0.0,Gearbox,13.0,2022,9,Canadian Grand Prix
55,SAI,Ferrari,1.0,25.0,Finished,1.0,2022,10,British Grand Prix
11,PER,Red Bull Racing,2.0,18.0,Finished,4.0,2022,10,British Grand Prix
44,HAM,Mercedes,3.0,16.0,Finished,5.0,2022,10,British Grand Prix
16,LEC,Ferrari,4.0,12.0,Finished,3.0,2022,10,British Grand Prix
14,ALO,Alpine,5.0,10.0,Finished,7.0,2022,10,British Grand Prix
4,NOR,McLaren,6.0,8.0,Finished,6.0,2022,10,British Grand Prix
1,VER,Red Bull Racing,7.0,6.0,Finished,2.0,2022,10,British Grand Prix
47,MSC,Haas F1 Team,8.0,4.0,Finished,19.0,2022,10,British Grand Prix
5,VET,Aston Martin,9.0,2.0,Finished,18.0,2022,10,British Grand Prix
20,MAG,Haas F1 Team,10.0,1.0,Finished,17.0,2022,10,British Grand Prix
18,STR,Aston Martin,11.0,0.0,Finished,20.0,2022,10,British Grand Prix
6,LAT,Williams,12.0,0.0,Finished,10.0,2022,10,British Grand Prix
3,RIC,McLaren,13.0,0.0,Finished,14.0,2022,10,British Grand Prix
22,TSU,AlphaTauri,14.0,0.0,Finished,13.0,2022,10,British Grand Prix
31,OCO,Alpine,15.0,0.0,Fuel pump,15.0,2022,10,British Grand Prix
10,GAS,AlphaTauri,16.0,0.0,Collision damage,11.0,2022,10,British Grand Prix
77,BOT,Alfa Romeo,17.0,0.0,Gearbox,12.0,2022,10,British Grand Prix
63,RUS,Mercedes,18.0,0.0,Collision,8.0,2022,10,British Grand Prix
24,ZHO,Alfa Romeo,19.0,0.0,Collision,9.0,2022,10,British Grand Prix
23,ALB,Williams,20.0,0.0,Collision,16.0,2022,10,British Grand Prix
16,LEC,Ferrari,1.0,25.0,Finished,2.0,2022,11,Austrian Grand Prix
1,VER,Red Bull Racing,2.0,19.0,Finished,1.0,2022,11,Austrian Grand Prix
44,HAM,Mercedes,3.0,15.0,Finished,8.0,2022,11,Austrian Grand Prix
63,RUS,Mercedes,4.0,12.0,Finished,4.0,2022,11,Austrian Grand Prix
31,OCO,Alpine,5.0,10.0,Finished,6.0,2022,11,Austrian Grand Prix
47,MSC,Haas F1 Team,6.0,8.0,+1 Lap,9.0,2022,11,Austrian Grand Prix
4,NOR,McLaren,7.0,6.0,+1 Lap,10.0,2022,11,Austrian Grand Prix
20,MAG,Haas F1 Team,8.0,4.0,+1 Lap,7.0,2022,11,Austrian Grand Prix
3,RIC,McLaren,9.0,2.0,+1 Lap,11.0,2022,11,Austrian Grand Prix
14,ALO,Alpine,10.0,1.0,+1 Lap,19.0,2022,11,Austrian Grand Prix
77,BOT,Alfa Romeo,11.0,0.0,+1 Lap,0.0,2022,11,Austrian Grand Prix
23,ALB,Williams,12.0,0.0,+1 Lap,15.0,2022,11,Austrian Grand Prix
18,STR,Aston Martin,13.0,0.0,+1 Lap,12.0,2022,11,Austrian Grand Prix
24,ZHO,Alfa Romeo,14.0,0.0,+1 Lap,13.0,2022,11,Austrian Grand Prix
10,GAS,AlphaTauri,15.0,0.0,+1 Lap,14.0,2022,11,Austrian Grand Prix
22,TSU,AlphaTauri,16.0,0.0,+1 Lap,16.0,2022,11,Austrian Grand Prix
5,VET,Aston Martin,17.0,0.0,+1 Lap,18.0,2022,11,Austrian Grand Prix
55,SAI,Ferrari,18.0,0.0,Power Unit,3.0,2022,11,Austrian Grand Prix
6,LAT,Williams,19.0,0.0,Undertray,17.0,2022,11,Austrian Grand Prix
11,PER,Red Bull Racing,20.0,0.0,Collision damage,5.0,2022,11,Austrian Grand Prix
1,VER,Red Bull Racing,1.0,25.0,Finished,2.0,2022,12,French Grand Prix
44,HAM,Mercedes,2.0,18.0,Finished,4.0,2022,12,French Grand Prix
63,RUS,Mercedes,3.0,15.0,Finished,6.0,2022,12,French Grand Prix
11,PER,Red Bull Racing,4.0,12.0,Finished,3.0,2022,12,French Grand Prix
55,SAI,Ferrari,5.0,11.0,Finished,19.0,2022,12,French Grand Prix
14,ALO,Alpine,6.0,8.0,Finished,7.0,2022,12,French Grand Prix
4,NOR,McLaren,7.0,6.0,Finished,5.0,2022,12,French Grand Prix
31,OCO,Alpine,8.0,4.0,Finished,10.0,2022,12,French Grand Prix
3,RIC,McLaren,9.0,2.0,Finished,9.0,2022,12,French Grand Prix
18,STR,Aston Martin,10.0,1.0,Finished,15.0,2022,12,French Grand Prix
5,VET,Aston Martin,11.0,0.0,Finished,12.0,2022,12,French Grand Prix
10,GAS,AlphaTauri,12.0,0.0,Finished,14.0,2022,12,French Grand Prix
23,ALB,Williams,13.0,0.0,Finished,13.0,2022,12,French Grand Prix
77,BOT,Alfa Romeo,14.0,0.0,Finished,11.0,2022,12,French Grand Prix
47,MSC,Haas F1 Team,15.0,0.0,Finished,17.0,2022,12,French Grand Prix
24,ZHO,Alfa Romeo,16.0,0.0,+6 Laps,16.0,2022,12,French Grand Prix
6,LAT,Williams,17.0,0.0,Collision damage,18.0,2022,12,French Grand Prix
20,MAG,Haas F1 Team,18.0,0.0,Collision damage,20.0,2022,12,French Grand Prix
16,LEC,Ferrari,19.0,0.0,Accident,1.0,2022,12,French Grand Prix
22,TSU,AlphaTauri,20.0,0.0,Undertray,8.0,2022,12,French Grand Prix
1,VER,Red Bull Racing,1.0,25.0,Finished,10.0,2022,13,Hungarian Grand Prix
44,HAM,Mercedes,2.0,19.0,Finished,7.0,2022,13,Hungarian Grand Prix
63,RUS,Mercedes,3.0,15.0,Finished,1.0,2022,13,Hungarian Grand Prix
55,SAI,Ferrari,4.0,12.0,Finished,2.0,2022,13,Hungarian Grand Prix
11,PER,Red Bull Racing,5.0,10.0,Finished,11.0,2022,13,Hungarian Grand Prix
16,LEC,Ferrari,6.0,8.0,Finished,3.0,2022,13,Hungarian Grand Prix
4,NOR,McLaren,7.0,6.0,Finished,4.0,2022,13,Hungarian Grand Prix
14,ALO,Alpine,8.0,4.0,+1 Lap,6.0,2022,13,Hungarian Grand Prix
31,OCO,Alpine,9.0,2.0,+1 Lap,5.0,2022,13,Hungarian Grand Prix
5,VET,Aston Martin,10.0,1.0,+1 Lap,18.0,2022,13,Hungarian Grand Prix
18,STR,Aston Martin,11.0,0.0,+1 Lap,14.0,2022,13,Hungarian Grand Prix
10,GAS,AlphaTauri,12.0,0.0,+1 Lap,0.0,2022,13,Hungarian Grand Prix
24,ZHO,Alfa Romeo,13.0,0.0,+1 Lap,12.0,2022,13,Hungarian Grand Prix
47,MSC,Haas F1 Team,14.0,0.0,+1 Lap,15.0,2022,13,Hungarian Grand Prix
3,RIC,McLaren,15.0,0.0,+1 Lap,9.0,2022,13,Hungarian Grand Prix
20,MAG,Haas F1 Team,16.0,0.0,+1 Lap,13.0,2022,13,Hungarian Grand Prix
23,ALB,Williams,17.0,0.0,+1 Lap,17.0,2022,13,Hungarian Grand Prix
6,LAT,Williams,18.0,0.0,+1 Lap,19.0,2022,13,Hungarian Grand Prix
22,TSU,AlphaTauri,19.0,0.0,+2 Laps,16.0,2022,13,Hungarian Grand Prix
77,BOT,Alfa Romeo,20.0,0.0,Power Unit,8.0,2022,13,Hungarian Grand Prix
1,VER,Red Bull Racing,1.0,26.0,Finished,14.0,2022,14,Belgian Grand Prix
11,PER,Red Bull Racing,2.0,18.0,Finished,2.0,2022,14,Belgian Grand Prix
55,SAI,Ferrari,3.0,15.0,Finished,1.0,2022,14,Belgian Grand Prix
63,RUS,Mercedes,4.0,12.0,Finished,5.0,2022,14,Belgian Grand Prix
14,ALO,Alpine,5.0,10.0,Finished,3.0,2022,14,Belgian Grand Prix
16,LEC,Ferrari,6.0,8.0,Finished,15.0,2022,14,Belgian Grand Prix
31,OCO,Alpine,7.0,6.0,Finished,16.0,2022,14,Belgian Grand Prix
5,VET,Aston Martin,8.0,4.0,Finished,10.0,2022,14,Belgian Grand Prix
10,GAS,AlphaTauri,9.0,2.0,Finished,0.0,2022,14,Belgian Grand Prix
23,ALB,Williams,10.0,1.0,Finished,6.0,2022,14,Belgian Grand Prix
18,STR,Aston Martin,11.0,0.0,Finished,9.0,2022,14,Belgian Grand Prix
4,NOR,McLaren,12.0,0.0,Finished,17.0,2022,14,Belgian Grand Prix
22,TSU,AlphaTauri,13.0,0.0,Finished,0.0,2022,14,Belgian Grand Prix
24,ZHO,Alfa Romeo,14.0,0.0,Finished,18.0,2022,14,Belgian Grand Prix
3,RIC,McLaren,15.0,0.0,Finished,7.0,2022,14,Belgian Grand Prix
20,MAG,Haas F1 Team,16.0,0.0,+1 Lap,12.0,2022,14,Belgian Grand Prix
47,MSC,Haas F1 Team,17.0,0.0,+1 Lap,19.0,2022,14,Belgian Grand Prix
6,LAT,Williams,18.0,0.0,+1 Lap,11.0,2022,14,Belgian Grand Prix
77,BOT,Alfa Romeo,19.0,0.0,Accident,13.0,2022,14,Belgian Grand Prix
44,HAM,Mercedes,20.0,0.0,Collision damage,4.0,2022,14,Belgian Grand Prix
1,VER,Red Bull Racing,1.0,26.0,Finished,1.0,2022,15,Dutch Grand Prix
63,RUS,Mercedes,2.0,18.0,Finished,6.0,2022,15,Dutch Grand Prix
16,LEC,Ferrari,3.0,15.0,Finished,2.0,2022,15,Dutch Grand Prix
44,HAM,Mercedes,4.0,12.0,Finished,4.0,2022,15,Dutch Grand Prix
11,PER,Red Bull Racing,5.0,10.0,Finished,5.0,2022,15,Dutch Grand Prix
14,ALO,Alpine,6.0,8.0,Finished,13.0,2022,15,Dutch Grand Prix
4,NOR,McLaren,7.0,6.0,Finished,7.0,2022,15,Dutch Grand Prix
55,SAI,Ferrari,8.0,4.0,Finished,3.0,2022,15,Dutch Grand Prix
31,OCO,Alpine,9.0,2.0,Finished,12.0,2022,15,Dutch Grand Prix
18,STR,Aston Martin,10.0,1.0,Finished,10.0,2022,15,Dutch Grand Prix
10,GAS,AlphaTauri,11.0,0.0,Finished,11.0,2022,15,Dutch Grand Prix
23,ALB,Williams,12.0,0.0,Finished,15.0,2022,15,Dutch Grand Prix
47,MSC,Haas F1 Team,13.0,0.0,Finished,8.0,2022,15,Dutch Grand Prix
5,VET,Aston Martin,14.0,0.0,Finished,19.0,2022,15,Dutch Grand Prix
20,MAG,Haas F1 Team,15.0,0.0,Finished,18.0,2022,15,Dutch Grand Prix
24,ZHO,Alfa Romeo,16.0,0.0,Finished,14.0,2022,15,Dutch Grand Prix
